station_name,date,y_true,y_pred,y_prob,fold,threshold,category,window_max_chl
04,2018-07-16,0,1,0.654026631731452,2018,0.6500000000000001,genuine_low,7.829259259259259
04,2018-08-27,0,1,0.6800999691284185,2018,0.6500000000000001,genuine_low,1.772872340425532
04,2019-07-15,0,1,0.6957556335605017,2019,0.6500000000000001,genuine_low,6.01951923076923
04,2019-07-30,0,1,0.7700083326488147,2019,0.6500000000000001,genuine_low,6.483636363636363
04,2019-08-28,0,1,0.791479531480845,2019,0.6500000000000001,genuine_low,7.66746835443038
04,2020-08-12,0,0,0.6432877745430443,2020,0.7000000000000002,genuine_low,5.7884
04,2021-06-22,0,0,0.6072950073279109,2021,0.7000000000000002,genuine_low,7.050315789473684
04,2021-07-19,0,1,0.7172595594435707,2021,0.7000000000000002,genuine_low,4.947904761904762
04,2021-08-31,0,1,0.7338871523646984,2021,0.7000000000000002,genuine_low,6.840886075949366
04,2022-07-19,0,0,0.6478180096250559,2022,0.7000000000000002,genuine_low,6.383046875
04,2024-08-12,0,1,0.6697507692842536,2024,0.6500000000000001,genuine_low,6.74963963963964
04,2025-07-14,0,1,0.6677152813934745,2025,0.6500000000000001,genuine_low,6.35900826446281
05,2015-06-18,0,1,0.6502804471028601,2015,0.5,genuine_low,6.122998181818182
05,2015-07-07,0,1,0.7622760896948205,2015,0.5,genuine_low,3.2502122807017546
05,2015-07-20,0,1,0.7788372894165362,2015,0.5,genuine_low,3.0857678571428573
05,2015-08-17,0,1,0.6923097578077286,2015,0.5,genuine_low,3.0077629629629627
05,2016-08-03,0,1,0.6028940723695709,2016,0.5,genuine_low,2.447253968253968
05,2016-08-30,0,1,0.6909612357147544,2016,0.5,genuine_low,3.9595666666666665
05,2017-07-18,0,1,0.6574977427018974,2017,0.5,genuine_low,4.541214953271028
05,2017-08-15,0,1,0.6550232085694258,2017,0.5,genuine_low,6.848648648648648
05,2018-07-05,0,0,0.6244988239398125,2018,0.6500000000000001,genuine_low,5.773142857142856
05,2018-08-15,0,1,0.6926631792434098,2018,0.6500000000000001,genuine_low,4.464351851851852
05,2018-08-27,0,1,0.6907349198895527,2018,0.6500000000000001,genuine_low,1.883557692307692
05,2019-08-28,0,1,0.6821431444497451,2019,0.6500000000000001,genuine_low,3.958787878787879
05,2021-08-31,0,0,0.6986296029772397,2021,0.7000000000000002,genuine_low,4.189175257731959
06,2015-07-07,0,1,0.6494683717034718,2015,0.5,genuine_low,4.28868202247191
06,2015-07-20,0,1,0.7447277013411129,2015,0.5,genuine_low,6.601964772727272
06,2015-08-17,0,1,0.6587851733898419,2015,0.5,genuine_low,3.5536652173913046
06,2016-08-30,0,1,0.6942056666905482,2016,0.5,genuine_low,3.594605319148936
06,2018-08-02,0,0,0.6412518576713983,2018,0.6500000000000001,genuine_low,3.143796296296296
06,2018-08-27,0,0,0.6083689241854254,2018,0.6500000000000001,genuine_low,1.5790647482014388
06,2019-07-30,0,0,0.6491842878532219,2019,0.6500000000000001,genuine_low,5.445875
06,2019-08-28,0,1,0.6587977327322551,2019,0.6500000000000001,genuine_low,5.352362204724409
06,2021-08-31,0,0,0.6241360500769895,2021,0.7000000000000002,genuine_low,4.037460317460318
06,2024-07-31,0,0,0.6118024543710104,2024,0.6500000000000001,genuine_low,6.208011363636363
07,2015-07-07,0,1,0.7008612484926379,2015,0.5,genuine_low,4.292175
07,2015-07-20,0,1,0.7719933734116604,2015,0.5,genuine_low,2.769683076923077
07,2015-08-17,0,1,0.6725375691536074,2015,0.5,genuine_low,3.200612121212121
07,2016-07-19,0,1,0.6143476142523238,2016,0.5,genuine_low,3.667556896551724
07,2016-08-03,0,1,0.6823015373809489,2016,0.5,genuine_low,4.433930555555556
07,2016-08-30,0,1,0.7429789264690974,2016,0.5,genuine_low,3.932963636363637
07,2017-08-15,0,1,0.7387718682211142,2017,0.5,genuine_low,4.204368932038835
07,2018-07-05,0,0,0.6202102216969663,2018,0.6500000000000001,genuine_low,6.859090909090909
07,2018-08-27,0,1,0.6605877624714122,2018,0.6500000000000001,genuine_low,2.145
07,2019-07-15,0,1,0.6721095175319399,2019,0.6500000000000001,genuine_low,6.905978260869565
07,2019-08-28,0,1,0.7586916637521982,2019,0.6500000000000001,genuine_low,7.250792079207921
07,2020-08-12,0,0,0.6429491506904687,2020,0.7000000000000002,genuine_low,7.961224489795919
08,2015-07-07,0,1,0.6302185950860106,2015,0.5,genuine_low,2.671085
08,2015-07-20,0,1,0.6473265351257277,2015,0.5,genuine_low,2.654858928571429
08,2016-08-18,0,1,0.6233496327642332,2016,0.5,genuine_low,7.079592537313433
08,2016-08-30,0,1,0.6323998754330145,2016,0.5,genuine_low,4.1560830769230765
08,2017-07-18,0,1,0.63277487923022,2017,0.5,genuine_low,5.935132743362831
08,2019-07-30,0,1,0.6624984961667117,2019,0.6500000000000001,genuine_low,7.068319327731093
08,2021-08-31,0,0,0.6470143313432112,2021,0.7000000000000002,genuine_low,3.776116504854369
09,2015-07-07,0,1,0.6830068655409862,2015,0.5,genuine_low,4.2673314285714286
09,2015-07-20,0,1,0.7680400068300872,2015,0.5,genuine_low,3.685417647058824
09,2015-08-17,0,1,0.6790356135317557,2015,0.5,genuine_low,3.2224142857142857
09,2017-07-18,0,1,0.6461390641615691,2017,0.5,genuine_low,6.232592592592592
09,2018-08-15,0,1,0.6877330434592406,2018,0.6500000000000001,genuine_low,5.733538461538462
09,2019-07-15,0,0,0.6497035246078403,2019,0.6500000000000001,genuine_low,5.541785714285714
09,2019-07-30,0,1,0.7479954047252624,2019,0.6500000000000001,genuine_low,5.272045454545455
09,2022-02-15,0,1,0.8260312154927683,2022,0.7000000000000002,genuine_low,7.4690625
09,2022-07-19,0,0,0.6094388958440042,2022,0.7000000000000002,genuine_low,3.225975609756097
09,2024-02-22,0,1,0.6649668225114107,2024,0.6500000000000001,genuine_low,4.3810416666666665
09,2024-07-16,0,1,0.6701274544883088,2024,0.6500000000000001,genuine_low,7.637727272727273
09,2024-07-31,0,0,0.6301866956718759,2024,0.6500000000000001,genuine_low,6.678837209302325
10,2015-07-08,0,1,0.6468171571958022,2015,0.5,genuine_low,3.137322222222222
10,2015-07-21,0,1,0.6858473039885623,2015,0.5,genuine_low,5.97441046511628
10,2018-07-31,0,0,0.6197219017883173,2018,0.6500000000000001,genuine_low,2.133720930232558
10,2019-08-13,0,0,0.6025670613868659,2019,0.6500000000000001,genuine_low,7.83037037037037
10,2021-08-31,0,0,0.6065263072883222,2021,0.7000000000000002,genuine_low,7.810578512396694
12,2015-07-07,0,1,0.6949308182469385,2015,0.5,genuine_low,4.600618604651163
12,2015-07-20,0,1,0.7240127830282806,2015,0.5,genuine_low,2.6608
12,2015-08-17,0,1,0.6345304404361723,2015,0.5,genuine_low,3.44476
12,2016-08-30,0,1,0.6966186092953015,2016,0.5,genuine_low,6.575333333333333
12,2017-07-18,0,1,0.6920756349246141,2017,0.5,genuine_low,4.9518085106382985
12,2018-08-01,0,0,0.6264393231943567,2018,0.6500000000000001,genuine_low,4.371884057971015
12,2018-08-15,0,1,0.7309561825048083,2018,0.6500000000000001,genuine_low,4.48566265060241
12,2018-08-27,0,1,0.7624971043082126,2018,0.6500000000000001,genuine_low,2.875952380952381
12,2019-07-30,0,1,0.7259711751682705,2019,0.6500000000000001,genuine_low,3.951010101010101
12,2021-08-16,0,0,0.6142161400950746,2021,0.7000000000000002,genuine_low,5.360645161290323
12,2021-08-31,0,1,0.7166890527196703,2021,0.7000000000000002,genuine_low,4.965757575757576
15,2015-07-08,0,1,0.639740567105506,2015,0.5,genuine_low,3.28422027027027
15,2015-07-21,0,1,0.7109181623930456,2015,0.5,genuine_low,3.8866753246753247
15,2019-07-03,0,1,0.6633500660107486,2019,0.6500000000000001,genuine_low,5.199580419580419
15,2019-07-16,0,1,0.6876229538487052,2019,0.6500000000000001,genuine_low,3.689863945578231
15,2024-07-16,0,0,0.6000631883654189,2024,0.6500000000000001,genuine_low,7.63308176100629
16,2015-07-07,0,1,0.7306282788718851,2015,0.5,genuine_low,7.3266875
16,2015-07-20,0,1,0.7330827781342993,2015,0.5,genuine_low,5.146446666666666
16,2015-08-04,0,1,0.6292630437987844,2015,0.5,genuine_low,4.499527586206897
16,2015-08-17,0,1,0.6920023691799743,2015,0.5,genuine_low,5.31317
16,2016-07-18,0,1,0.6354128822154966,2016,0.5,genuine_low,4.521294594594595
16,2016-08-02,0,1,0.6605249434454644,2016,0.5,genuine_low,5.4404275
16,2016-08-31,0,1,0.6852119590913036,2016,0.5,genuine_low,6.03969534883721
16,2017-07-06,0,1,0.6052902401849124,2017,0.5,genuine_low,5.978125
16,2017-07-18,0,1,0.7049399874323589,2017,0.5,genuine_low,5.011648351648351
16,2017-08-15,0,1,0.6394741530179346,2017,0.5,genuine_low,5.019285714285715
16,2018-07-17,0,1,0.7123405418345361,2018,0.6500000000000001,genuine_low,7.597272727272728
16,2018-07-31,0,1,0.7251679482171502,2018,0.6500000000000001,genuine_low,5.00948717948718
16,2018-08-14,0,1,0.67797922996617,2018,0.6500000000000001,genuine_low,5.785308641975309
16,2018-08-28,0,1,0.7238678534904129,2018,0.6500000000000001,genuine_low,3.201323529411765
16,2019-07-15,0,0,0.6039275543576967,2019,0.6500000000000001,genuine_low,5.2475000000000005
16,2019-07-30,0,1,0.7714499702530263,2019,0.6500000000000001,genuine_low,7.765434782608695
16,2019-08-12,0,0,0.6124626320638102,2019,0.6500000000000001,genuine_low,5.560416666666666
16,2021-07-12,0,0,0.6051788133720114,2021,0.7000000000000002,genuine_low,4.811382978723404
